"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",NA,NA,NA,NA,NA,3.54916306673847,NA,NA,NA,NA,NA,NA,NA,3.14505289974194,8.93927974385788
"2",NA,NA,NA,NA,6.81902441149388,NA,NA,NA,NA,NA,NA,6.98085984901599,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",10.9361830248497,NA,14.3348133425859,NA,NA,NA,NA,6.36560206133429,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,8.24555783386492,NA,NA,NA,NA,NA,10.3207018405177,NA,NA,NA,NA
"6",11.9017859976199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0828042848167,NA,NA
"7",3.63864743416211,NA,NA,NA,NA,NA,NA,NA,3.41263476169285,NA,4.95746353075038,6.69852545839119,NA,NA,NA
"8",NA,NA,NA,0.983928037130664,NA,NA,NA,2.56051472510422,NA,NA,5.02579486427105,NA,3.89298117009105,0.143180938036228,2.93411001654519
"9",NA,NA,NA,NA,NA,7.28907521257472,NA,NA,NA,NA,6.71798200949678,8.79260479734372,6.03944404559514,NA,NA
"10",NA,NA,NA,2.31656592722654,NA,NA,3.80053915273094,NA,NA,NA,NA,NA,NA,2.22032698951167,NA
"11",NA,NA,NA,8.57105479865137,NA,9.14765843264684,NA,NA,12.7873241215159,8.53427614966911,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,7.6314148085977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,7.75021586782489,NA,8.82392750712825,NA,NA,NA,NA,NA
"15",NA,4.68309698303866,12.2558423265843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.48262714129172
"16",NA,11.7835941493472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
